Wavelength (nm),Response (A/W),Relative Uncertainty (%),Uncertainty (A/W)
200,0.1329,6.1,0.0081069
205,0.1305,5.6,0.007308
210,0.1316,5.2,0.0068432
215,0.1301,4.7,0.0061147
220,0.1289,4.1,0.0052849
225,0.1284,3.7,0.0047508
230,0.1311,3.5,0.0045885
235,0.1345,3.3,0.0044385
240,0.133,2.6,0.003458
245,0.128,2.5,0.0032
250,0.1226,2.5,0.003065
255,0.1154,2.5,0.002885
260,0.1085,2.5,0.0027125
265,0.1022,2.5,0.002555
270,0.0976,2.5,0.00244
275,0.0967,2.5,0.0024175
280,0.0998,2.5,0.002495
285,0.105,2.5,0.002625
290,0.1121,2.5,0.0028025
295,0.1203,2.5,0.0030075
300,0.1273,2.5,0.0031825
305,0.1323,2.5,0.0033075
310,0.1359,2.5,0.0033975
315,0.1385,2.5,0.0034625
320,0.1408,2.5,0.00352
325,0.1427,2.5,0.0035675
330,0.1444,2.5,0.00361
335,0.146,2.5,0.00365
340,0.1473,2.5,0.0036825
345,0.1479,2.5,0.0036975
350,0.1477,2.5,0.0036925
355,0.1465,2.5,0.0036625
360,0.1446,2.5,0.003615
365,0.1434,2.5,0.003585
370,0.1451,2.5,0.0036275
375,0.1499,2.5,0.0037475
380,0.1565,1.9,0.0029735
385,0.1633,1.9,0.0031027
390,0.1695,1.9,0.0032205
395,0.1751,1.9,0.0033269
400,0.1801,1.9,0.0034219
405,0.1849,1.9,0.0035131
410,0.1893,1.9,0.0035967
415,0.1935,1.9,0.0036765
420,0.1977,1.9,0.0037563
425,0.2015,1.9,0.0038285
430,0.2054,1.4,0.0028756
435,0.2091,1.4,0.0029274
440,0.2127,1.4,0.0029778
445,0.2163,1.4,0.0030282
450,0.2197,1.4,0.0030758
455,0.2231,1.4,0.0031234
460,0.2265,1.4,0.003171
465,0.2297,1.4,0.0032158
470,0.2331,1.4,0.0032634
475,0.2364,1.4,0.0033096
480,0.2396,1.4,0.0033544
485,0.2427,1.4,0.0033978
490,0.2459,1.4,0.0034426
495,0.249,1.4,0.003486
500,0.2521,1.4,0.0035294
505,0.2552,1.4,0.0035728
510,0.2582,1,0.002582
515,0.2613,1,0.002613
520,0.2643,1,0.002643
525,0.2672,1,0.002672
530,0.2702,1,0.002702
535,0.2733,1,0.002733
540,0.2763,1,0.002763
545,0.2793,1,0.002793
550,0.2822,1,0.002822
555,0.2852,1,0.002852
560,0.2881,1,0.002881
565,0.2912,1,0.002912
570,0.2941,1,0.002941
575,0.297,1,0.00297
580,0.3,1,0.003
585,0.3028,1,0.003028
590,0.3056,1,0.003056
595,0.3085,1,0.003085
600,0.3115,0.8,0.002492
605,0.3143,0.8,0.0025144
610,0.3171,0.8,0.0025368
615,0.3199,0.8,0.0025592
620,0.3229,0.8,0.0025832
625,0.3258,0.8,0.0026064
630,0.3287,0.8,0.0026296
635,0.3314,0.8,0.0026512
640,0.3343,0.8,0.0026744
645,0.3371,0.8,0.0026968
650,0.3399,0.8,0.0027192
655,0.3426,0.8,0.0027408
660,0.3456,0.8,0.0027648
665,0.3483,0.8,0.0027864
670,0.3511,0.8,0.0028088
675,0.3539,0.8,0.0028312
680,0.3567,0.8,0.0028536
685,0.3596,0.8,0.0028768
690,0.3623,0.8,0.0028984
695,0.3651,0.8,0.0029208
700,0.368,0.8,0.002944
705,0.3708,0.8,0.0029664
710,0.3734,0.8,0.0029872
715,0.3763,0.8,0.0030104
